Country Name,year,che,oop_share,gov_share,predicted_che,residuals
Canada,2008,4.3,15.50515175,17.28190994,6.491314142751719,-2.191314142751719
Switzerland,2008,6.9,26.49785995,9.77972221,6.535604621523301,0.3643953784766998
Colombia,2008,20.01,20.85275078,16.6930294,7.430960052467073,12.579039947532928
Czechia,2008,1.96,16.13297081,12.54553795,5.201623927875774,-3.241623927875774
"Egypt, Arab Rep.",2008,12.57,61.82380295,4.69924688,12.385786429695958,0.18421357030404195
Spain,2008,5.84,21.78303528,14.82287312,7.064172072084788,-1.2241720720847882
Fiji,2008,0.78,16.50561142,9.78181839,4.450392546429858,-3.6703925464298575
Georgia,2008,22.12,66.54589081,4.83068514,13.410929733995705,8.709070266004296
Grenada,2008,3.17,55.20097733,7.03745365,11.704678493800408,-8.534678493800408
Croatia,2008,2.27,14.51390839,13.83800697,5.251346503281388,-2.981346503281388
"Iran, Islamic Rep.",2008,12.6,55.47851181,9.47516823,12.493841237961476,0.10615876203852359
Israel,2008,11.04,25.34702873,9.93712139,6.34258754252764,4.6974124574723595
Jordan,2008,1.72,31.94139099,15.12543488,9.275444996366472,-7.5554449963664725
Kazakhstan,2008,3.65,23.87804604,8.41329765,5.578849957254524,-1.9288499572545237
Kyrgyz Republic,2008,3.67,48.67649078,10.38534927,11.346969546686177,-7.676969546686177
"Korea, Rep.",2008,11.1,41.62781525,9.79573822,9.698724910299516,1.4012750897004835
Lithuania,2008,12.85,28.17394638,11.67387962,7.453661326630339,5.3963386733696606
Latvia,2008,15.1,37.30623627,8.79956532,8.497796238937248,6.602203761062752
Moldova,2008,14.93,48.42182159,12.7215929,11.994599246818561,2.9354007531814386
Mexico,2008,3.58,48.59585571,9.43475246,11.04499172704394,-7.464991727043939
Malta,2008,16.2,32.99180222,12.02801418,8.56559685414602,7.6344031458539785
Mozambique,2008,1.19,11.20337486,5.66810656,2.1096036969584318,-0.9196036969584318
Panama,2008,3.09,29.21657181,20.06934547,10.189649320051641,-7.0996493200516415
Peru,2008,11.57,43.35043335,10.98999786,10.416550217456145,1.1534497825438557
Poland,2008,14.0,24.43056297,10.27323627,6.252101709872521,7.747898290127479
Romania,2008,11.48,18.1821537,10.79983711,5.105733643414313,6.374266356585688
Serbia,2008,9.58,35.14710617,12.92955971,9.285939627203,0.29406037279700037
Slovak Republic,2008,4.34,21.02014542,14.2542305,6.734349177523928,-2.394349177523928
Thailand,2008,2.97,14.7017622,13.49731636,5.188365024923757,-2.218365024923757
Ukraine,2008,5.83,37.78808594,6.77591944,7.991357852119233,-2.1613578521192327
United States,2008,4.56,13.35935974,18.201231,6.319152826498234,-1.7591528264982346
Viet Nam,2008,14.55,34.57612991,8.12048721,7.724198217412357,6.825801782587644
South Africa,2008,2.93,8.84287548,13.01471424,3.820582829733563,-0.890582829733563
Armenia,2009,9.74,73.63291931,6.34490108,15.344529314222207,-5.604529314222207
