Country Code,Country Name,Year,GDP_per_capita,CHE10_pct,z_score,GDP_Quartile
USA,United States,2003,39490.2749557007,5.79,0.4515521579308642,Q4 (Highest GDP)
UZB,Uzbekistan,2003,394.164028897235,6.66,0.311697385194418,Q1 (Lowest GDP)
ARM,Armenia,2004,1130.08791444158,16.46,1.2636782157448607,Q2
AZE,Azerbaijan,2004,1045.0136328106,7.63,0.1557673512238976,Q1 (Lowest GDP)
BLR,Belarus,2004,2378.33700470129,2.73,0.9434551516935368,Q2
COD,"Congo, Dem. Rep.",2004,180.664764963633,4.19,0.7087563376760525,Q1 (Lowest GDP)
CRI,Costa Rica,2004,4431.0117207843,4.36,0.6814283935781262,Q3
ETH,Ethiopia,2004,133.169812538096,0.82,1.2504926412643553,Q1 (Lowest GDP)
GEO,Georgia,2004,1305.04748557208,11.76,0.5081409377433698,Q2
HND,Honduras,2004,1215.13995412761,1.15,1.1974442791919102,Q2
HRV,Croatia,2004,9718.97322801967,2.39,0.9981110398893893,Q4 (Highest GDP)
HUN,Hungary,2004,10291.2694721409,10.27,0.2686195453556631,Q4 (Highest GDP)
IDN,Indonesia,2004,1126.84004447173,2.06,1.0511594019618344,Q2
IND,India,2004,624.258826510066,16.0,1.189732014068119,Q1 (Lowest GDP)
ISR,Israel,2004,20568.0694088834,12.38,0.6078075573946304,Q4 (Highest GDP)
JAM,Jamaica,2004,3807.56293124552,10.2,0.25736686249181107,Q3
KAZ,Kazakhstan,2004,2722.47407755402,2.63,0.9595304129276112,Q2
KGZ,Kyrgyz Republic,2004,433.233873286,8.62,0.003377734993437571,Q1 (Lowest GDP)
LTU,Lithuania,2004,6734.57487061946,11.98,0.5435065124583333,Q4 (Highest GDP)
LVA,Latvia,2004,6109.73265186817,12.08,0.5595817736924075,Q3
MDA,Moldova,2004,897.178494749468,9.44,0.13519487711284664,Q1 (Lowest GDP)
MDV,Maldives,2004,4070.2609459446,7.33,0.2039931349261204,Q3
MEX,Mexico,2004,7849.66759649565,6.92,0.2699017059858249,Q4 (Highest GDP)
MKD,North Macedonia,2004,2818.5814561242,7.19,0.22649850065382432,Q2
MWI,Malawi,2004,404.674248445428,0.31,1.3324764735581343,Q1 (Lowest GDP)
PAK,Pakistan,2004,771.902247348954,3.37,0.8405734797954615,Q1 (Lowest GDP)
POL,Poland,2004,6711.72715262967,12.74,0.6656784978372977,Q4 (Highest GDP)
ROU,Romania,2004,3494.99056448955,9.62,0.16413034733418028,Q3
RUS,Russian Federation,2004,4102.36474609375,2.44,0.9900734092723523,Q3
UKR,Ukraine,2004,1401.01806640625,10.33,0.27826470209610776,Q2
USA,United States,2004,41724.6316287624,5.58,0.48531020652242013,Q4 (Highest GDP)
ALB,Albania,2005,2741.72136549578,19.51,1.7539736833841262,Q2
ARM,Armenia,2005,1557.48458908655,12.04,0.5531516691987777,Q2
AZE,Azerbaijan,2005,1578.36733030667,8.12,0.07699857117693379,Q2
BGD,Bangladesh,2005,480.08585075452,12.34,0.6013774529010005,Q1 (Lowest GDP)
BLR,Belarus,2005,3126.07176665248,2.01,1.0591970325788718,Q2
COG,"Congo, Rep.",2005,1799.05158366154,12.57,0.6383505537393714,Q2
GAB,Gabon,2005,6547.87613955186,5.67,0.47084247141175334,Q4 (Highest GDP)
GBR,United Kingdom,2005,42240.2462987547,2.03,1.055981980332057,Q4 (Highest GDP)
GEO,Georgia,2005,1642.78359414797,15.04,1.0354095062210058,Q2
GHA,Ghana,2005,478.611909191028,0.98,1.2247722232898366,Q1 (Lowest GDP)
HUN,Hungary,2005,11212.2046968994,10.62,0.324882959674923,Q4 (Highest GDP)
IDN,Indonesia,2005,1238.21447629488,2.14,1.038299192974575,Q2
IRN,"Iran, Islamic Rep.",2005,3132.0508192007,11.27,0.4293721576964058,Q2
ISR,Israel,2005,21286.8388636595,12.77,0.6705010762075199,Q4 (Highest GDP)
KAZ,Kazakhstan,2005,3577.35804001782,1.7,1.1090303424045018,Q3
KEN,Kenya,2005,523.456312433863,5.82,0.44672957956064185,Q1 (Lowest GDP)
KGZ,Kyrgyz Republic,2005,476.548193640077,4.61,0.6412402404929405,Q1 (Lowest GDP)
MDA,Moldova,2005,1034.39197746993,10.75,0.3457807992792197,Q1 (Lowest GDP)
MDG,Madagascar,2005,305.812074924388,0.21,1.3485517347922085,Q1 (Lowest GDP)
