Country Code,Country Name,Year,GDP_per_capita,Health_Spending_Burden,Burden_Quartile
KAZ,Kazakhstan,2006,5030.13494711519,3.56,Lowest 25%
KGZ,Kyrgyz Republic,2006,543.113512472219,3.96,25-50%
LKA,Sri Lanka,2006,1388.89739119932,5.55,25-50%
MDA,Moldova,2006,1183.02481442894,15.06,Highest 25%
MKD,North Macedonia,2006,3440.4411057968,7.84,50-75%
MLI,Mali,2006,586.985415515264,3.38,Lowest 25%
MNE,Montenegro,2006,4418.84951521682,6.5,25-50%
PER,Peru,2006,3129.55996496982,10.74,50-75%
PHL,Philippines,2006,1426.14649179546,4.39,25-50%
POL,Poland,2006,9068.85528307627,13.82,Highest 25%
ROU,Romania,2006,5757.53127301178,10.62,50-75%
SVK,Slovak Republic,2006,13167.8954730379,4.14,25-50%
SYC,Seychelles,2006,12782.9938926475,0.07,Lowest 25%
TGO,Togo,2006,552.50227125256,10.65,50-75%
UKR,Ukraine,2006,2366.494140625,8.36,50-75%
USA,United States,2006,46302.0008800056,5.42,25-50%
ZMB,Zambia,2006,1051.71714895686,1.85,Lowest 25%
AFG,Afghanistan,2007,376.223152003876,4.84,25-50%
ARM,Armenia,2007,2962.70234594569,8.3,50-75%
BLR,Belarus,2007,4735.48107556066,2.23,Lowest 25%
BTN,Bhutan,2007,1850.41570433398,3.73,25-50%
CHN,China,2007,2734.72709877693,18.85,Highest 25%
CPV,Cabo Verde,2007,3324.57675212498,2.05,Lowest 25%
GEO,Georgia,2007,2635.36650276116,17.74,Highest 25%
GIN,Guinea,2007,650.148575304743,4.3,25-50%
HUN,Hungary,2007,13934.605460375,11.54,50-75%
IDN,Indonesia,2007,1823.21976255073,2.54,Lowest 25%
IND,India,2007,1021.88707706826,12.98,Highest 25%
ISR,Israel,2007,25721.2594077311,12.22,50-75%
KAZ,Kazakhstan,2007,6449.43931096532,3.29,Lowest 25%
KGZ,Kyrgyz Republic,2007,721.771577544361,2.64,Lowest 25%
LBR,Liberia,2007,374.211308104278,7.87,50-75%
LVA,Latvia,2007,13370.9789452508,15.37,Highest 25%
MDA,Moldova,2007,1531.21618590748,14.45,Highest 25%
MNE,Montenegro,2007,5971.84638953467,7.64,50-75%
NER,Niger,2007,387.168065883301,1.62,Lowest 25%
PAK,Pakistan,2007,998.090114197524,2.71,Lowest 25%
PER,Peru,2007,3581.0893081917,11.34,50-75%
POL,Poland,2007,11272.5293683383,14.18,Highest 25%
ROU,Romania,2007,8360.33775916596,10.57,50-75%
SVK,Slovak Republic,2007,16110.4817265237,4.25,25-50%
SYR,Syrian Arab Republic,2007,1937.61138578027,6.88,25-50%
TJK,Tajikistan,2007,516.997210618914,6.46,25-50%
TZA,Tanzania,2007,543.198303222656,2.24,Lowest 25%
UKR,Ukraine,2007,3160.32763671875,9.07,50-75%
USA,United States,2007,48050.2237771135,4.93,25-50%
AGO,Angola,2008,4578.15526451517,12.29,Highest 25%
ALB,Albania,2008,4498.50486763601,13.91,Highest 25%
ARM,Armenia,2008,3777.66859313767,8.26,50-75%
BLR,Belarus,2008,6376.17569162063,2.87,Lowest 25%
BRA,Brazil,2008,8908.33338467948,15.07,Highest 25%
CAF,Central African Republic,2008,437.24827472489,6.75,25-50%
COL,Colombia,2008,5541.83629665898,20.01,Highest 25%
EGY,"Egypt, Arab Rep.",2008,1896.21594269779,12.57,Highest 25%
GEO,Georgia,2008,3324.7537205015,22.12,Highest 25%
HRV,Croatia,2008,15888.0606949392,2.27,Lowest 25%
