Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,HDI_Value,HDI_Rank,HDI_Rank_2022,GNI_per_capita,GNI_HDI_Rank_Diff,Life_Expectancy,Expected_Schooling,Mean_Schooling,HDI_Category,HDI_Cat_High,HDI_Cat_Low,HDI_Cat_Medium,ln_GNI,HDI_WGI
Georgia,GEO,21,7.717267879095891,22.489047619047614,69.38913345333333,7.3887679,2000,2021,-0.0080966309523809,0.0349582285714285,0.222992138095238,-0.1010444666666666,37.52272727272727,0.844,57.0,55.0,20752.57009,18.0,74.496,16.75470924,12.69999981,Very_High,False,False,False,9.940473563389626,-0.0068335565238094795
Ghana,GHA,3,-5.847088045988502,1.9733333333333336,32.74582799333333,9.714978216666667,2005,2016,-0.0070445873015872,-0.0658710857142857,-0.1475652333333333,0.0847842952380952,42.9,0.628,143.0,144.0,6846.352204,-8.0,65.498,11.41845989,7.107210159,Medium,False,False,True,8.831617316968554,-0.004424000825396762
Greece,GRC,2,7.97001168998389,15.765,31.28350163,10.647826195,2010,2016,0.4803795523809523,0.397454019047619,0.2455306619047619,0.5563317714285714,34.39047619047619,0.908,34.0,36.0,35760.74915,17.0,81.857,20.84550095,11.55385642,Very_High,False,False,False,10.484634141681823,0.43618463356190473
Guatemala,GTM,3,-6.4043526185927675,8.163333333333332,57.80822499666667,14.767544746666664,2000,2014,-0.6585962888888889,-0.7429081333333333,-0.768205419047619,-0.9662187571428572,52.333333333333336,0.662,137.0,136.0,12458.604,-25.0,72.602,10.67763042,5.847300053,Medium,False,False,True,9.43024701013495,-0.4359907432444445
Guinea,GIN,3,-6.264540426765791,6.046666666666667,62.97320683666666,3.650748253333333,2002,2018,-1.1440373404761903,-0.9977613904761904,-1.067992538095238,-1.3077126285714284,36.425,0.5,179.0,179.0,3494.347723,-16.0,60.74,10.39330626,2.486339025,Low,False,True,False,8.159188141278324,-0.5720186702380952
Guinea-Bissau,GNB,3,-5.232243382562397,5.6000000000000005,57.47413380999999,2.54710277,2002,2018,-1.0671735928571429,-1.232989576190476,-1.2757559476190476,-1.3045011857142856,38.6,0.514,174.0,175.0,2403.059237,2.0,64.085,10.63534621,3.673035,Low,False,True,False,7.784913936366489,-0.5485272267285715
Haiti,HTI,2,4.796036740177001,10.485,32.34073162,2.891191125,2012,2013,-1.2953343246031743,-1.7276698047619048,-1.3743315952380952,-1.3887339476190477,50.05,0.554,166.0,166.0,2934.925802,3.0,64.936,10.89635878,5.3822999,Medium,False,False,True,7.984778117616704,-0.7176152158301586
Hungary,HUN,12,4.049659312941161,10.791666666666666,26.8411617275,10.228907903333331,2000,2018,0.6648178936507937,0.647217280952381,0.3574348142857143,0.6018848380952381,29.45555555555556,0.87,46.0,46.0,37236.07462,2.0,77.024,15.46940041,12.33162229,Very_High,False,False,False,10.525060173525608,0.5783915674761905
India,IND,8,2.359449019707607,15.605,68.30024003875,3.05850401625,2000,2017,-0.1972820825396825,0.0071343904761904,-0.3517482857142857,0.0140634952380952,28.1,0.685,130.0,133.0,9046.756336,-7.0,72.003,12.95454025,6.880000114,Medium,False,False,True,9.110272087283024,-0.13513822653968252
Indonesia,IDN,19,-6.114728539772966,3.1426315789473684,44.84179807947368,6.087734747894737,2001,2021,-0.4293834373015873,-0.239034119047619,-0.720407857142857,-0.5127438523809523,34.24090909090909,0.728,113.0,114.0,13700.12989,-8.0,71.146,13.33577728,8.6972232,High,True,False,False,9.525233582138073,-0.3125911423555555
"Iran, Islamic Rep.",IRN,16,1.6904693032241922,14.6075,46.70101118125,16.994239448125,2005,2021,-0.9960406055555556,-0.5491262238095238,-0.8229429809523809,-1.038643780952381,37.25,0.799,75.0,77.0,16095.77169,19.0,77.654,13.96833061,10.84671198,High,True,False,False,9.686374014717435,-0.795836443838889
Iraq,IRQ,3,-0.8318287371026502,8.853333333333333,50.76570383666667,3.3914548533333337,2006,2017,-1.494408034920635,-1.3816469047619049,-1.376338638095238,-1.5524945952380953,29.05,0.695,126.0,126.0,12653.52469,-16.0,72.324,12.35940135,6.780046287,Medium,False,False,True,9.445770113206303,-1.0386135842698412
Israel,ISR,16,5.168786746283847,11.659375,25.582885980625,10.266381620625,2001,2018,0.6606225388888889,1.3781649952380952,0.8198908809523809,0.903433761904762,40.214285714285715,0.919,27.0,23.0,48050.11176,5.0,82.408,14.93416023,13.53459474,Very_High,False,False,False,10.780020551695806,0.6071121132388889
Italy,ITA,2,2.350740714494798,9.05,22.512597085,13.098651405,2001,2010,0.5875176984126984,0.4320265095238095,0.3416469571428571,0.5472151999999999,34.666666666666664,0.915,29.0,32.0,52388.88306,-1.0,83.716,16.71419907,10.82812827,Very_High,False,False,False,10.86646878029441,0.537578694047619
