Country Name,che,oop_share,gov_share,predicted_che,residuals
Saudi Arabia,1.52,15.508683880416667,10.03661654375,4.356467190568786,-2.836467190568786
Sudan,15.41,62.15852355958334,9.03350119,13.250682902373935,2.159317097626065
Senegal,3.2925,48.66927671458334,6.0704363075000005,9.88344640492217,-6.590946404922169
Singapore,9.01,38.9036835825,11.696773369166666,9.345843995649961,-0.33584399564996126
Sierra Leone,29.806666666666672,61.56108204583334,5.275323133333333,12.214759759114719,17.59190690755195
El Salvador,3.714,38.469103653750004,17.8478873175,10.764649785402673,-7.050649785402673
Serbia,9.20909090909091,34.034798144999996,12.934138894166665,8.694484416380106,0.5146064927108043
South Sudan,10.46,30.90767642428571,2.110441884285714,5.435435752747493,5.024564247252508
Suriname,4.87,21.98322308083333,10.996936539583333,5.859735030353413,-0.9897350303534127
Slovak Republic,4.14125,19.534601330833336,12.720205107499998,5.801348535066547,-1.6600985350665463
Slovenia,3.518,12.513416061199997,12.719173114166667,4.4255295554971745,-0.9075295554971747
Eswatini,6.88,12.028416672083333,11.162872552083334,3.949994681855954,2.9300053181440457
Seychelles,1.315,22.513892332499996,8.877363900833332,5.445466482060456,-4.130466482060456
Syrian Arab Republic,6.21,51.73353211041666,7.082418124166666,10.731214393695238,-4.521214393695238
Chad,8.09,60.305818875833324,6.815865567083333,12.345495469086405,-4.255495469086405
Togo,15.475,67.73667112916667,4.38169738625,13.206168624455167,2.268831375544833
Thailand,2.744210526315789,16.61272076666667,12.264046709166665,5.117372949302274,-2.3731624229864847
Tajikistan,9.375714285714285,68.15156253208333,5.7027824124999995,13.610457988072815,-4.23474370235853
Timor-Leste,2.485,13.549008573809525,4.206109496190477,2.5469754650544933,-0.06197546505449347
Trinidad and Tobago,3.23,46.973236243749994,8.590505162916665,10.167320715897853,-6.937320715897853
Tunisia,19.47,39.90551042458333,11.872413714583333,9.585062551729068,9.88493744827093
Tanzania,4.297499999999999,29.62763683,8.412174303333332,6.725428182398519,-2.42792818239852
Uganda,15.529999999999998,40.53753971958333,6.54225423,8.405663713815759,7.1243362861842385
Ukraine,8.182777777777778,44.450899990909086,8.107557492727272,9.555072511808348,-1.3722947340305698
Uruguay,3.325,19.68343405041667,18.033319394166668,7.129563643609679,-3.8045636436096792
United States,4.999999999999999,12.521416465,19.943853855,6.193531227515502,-1.1935312275155026
Uzbekistan,7.0,57.64510281875,7.965741455416667,12.105361685159169,-5.105361685159169
Viet Nam,11.575,37.978693723750006,8.960867960416667,8.49569433525921,3.07930566474079
"Yemen, Rep.",15.615,69.52692461,5.2390148241666665,13.766523069024458,1.8484769309755418
South Africa,1.9033333333333335,8.625238636666667,14.066008049999999,3.993072211528395,-2.089738878195061
Zambia,1.3025,18.14754462333333,7.639770846666667,4.287435068916978,-2.984935068916978
Zimbabwe,11.82,19.908958026428568,7.7395536385714285,4.656922061897514,7.163077938102487
