Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,GGHE_pct,DEA_Efficiency
Sierra Leone,SLE,2003,68.440240316632,35.93,64.07,5.45097542,0.4263243085391307
Serbia,SRB,2003,585.422590251339,7.75,92.25,13.56351852,0.11723288156589186
Syrian Arab Republic,SYR,2003,233.125708036007,5.54,94.46,7.51466179,0.24189189037356076
Chad,TCD,2003,59.3205798268326,6.28,93.72,8.98155689,0.33053055771386264
Turkiye,TUR,2003,473.913584390073,4.73,95.27,9.29146957,0.15832247552911943
Ukraine,UKR,2003,363.412242510875,10.22,89.78,9.38550282,0.17755494310608458
United States,USA,2003,5732.24369331565,5.79,94.21,17.5054512,0.07276369945837194
Uzbekistan,UZB,2003,185.780236308559,6.66,93.34,6.01096392,0.3028172463930237
Argentina,ARG,2004,859.721256884155,16.9,83.1,14.93299007,0.09269985329766642
Armenia,ARM,2004,277.528911953218,16.46,83.53999999999999,6.27547503,0.2506334774693359
Azerbaijan,AZE,2004,134.272396332243,7.63,92.37,3.55759931,0.47342482564203653
Belarus,BLR,2004,502.898047572918,3.27,96.73,9.99574471,0.14814883212499871
Canada,CAN,2004,3057.41927474776,3.2,96.8,16.9260788,0.075254369606267
"Congo, Dem. Rep.",COD,2004,19.7649795275692,5.81,94.19,2.49895263,1.0
Costa Rica,CRI,2004,638.741883417573,4.36,95.64,25.73747253,0.07620289188451801
Czechia,CZE,2004,1329.6021429386,0.82,99.18,13.14472771,0.27829598964595886
Estonia,EST,2004,773.81126179819,11.57,88.43,11.50922489,0.110673081999356
Ethiopia,ETH,2004,24.082866233605,0.82,99.18,5.72665405,1.0000000000000824
Georgia,GEO,2004,367.732594270678,11.76,88.24,6.25,0.21899701984789763
Honduras,HND,2004,205.734823839806,1.14,98.86,9.59641266,0.32956823957500836
Croatia,HRV,2004,954.518033212497,2.39,97.61,10.59734058,0.12019632476509486
Hungary,HUN,2004,1260.98469924248,10.27,89.73,11.08648109,0.11489320909489757
Indonesia,IDN,2004,131.431859149521,2.06,97.94,4.20149517,0.4461114037600693
Israel,ISR,2004,1823.98454141895,12.37,87.63,9.58080482,0.13294930999335405
Jamaica,JAM,2004,434.746511794726,10.2,89.8,7.64527464,0.18222171657311598
Kazakhstan,KAZ,2004,469.091390586397,2.63,97.37,10.94160748,0.14748551223528963
Kyrgyz Republic,KGZ,2004,142.612046533621,8.62,91.38,8.21259594,0.26383331345951666
"Korea, Rep.",KOR,2004,1102.66498622514,8.25,91.75,8.29986382,0.1534677456912782
Lithuania,LTU,2004,713.57653964931,11.98,88.02,10.13123989,0.12572611090348967
Latvia,LVA,2004,757.087107803931,12.08,87.92,9.9400692,0.128144116944377
Moldova,MDA,2004,265.744397851625,9.44,90.56,15.25031948,0.14195875122072768
Maldives,MDV,2004,828.120500716886,7.33,92.67,9.60306931,0.13264107014968496
North Macedonia,MKD,2004,591.410797433509,7.19,92.81,13.83370781,0.11543160325658823
Mauritania,MRT,2004,98.0962952420062,10.54,89.46000000000001,2.96115541,0.5989900253997436
Malawi,MWI,2004,40.6890652066302,0.31,99.69,4.99515104,0.9644549797164821
Pakistan,PAK,2004,62.0847512223923,3.37,96.63,4.51193905,0.5669022154342662
