Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,OOP_pct,DEA_Efficiency
Ukraine,UKR,2004,395.913880548956,10.33,89.67,41.40994263,0.1851078250383911
United States,USA,2004,6071.84414824311,5.58,94.42,13.973526,0.031147562764238905
Viet Nam,VNM,2004,157.804286595422,15.91,84.09,34.6751709,0.27489416402993017
Zambia,ZMB,2004,113.031216336957,2.79,97.21,31.0702076,0.34377639440218777
Albania,ALB,2005,328.991135915059,19.51,80.49,49.31101227,0.1752382651519266
Armenia,ARM,2005,317.313182370138,12.04,87.96000000000001,62.93592072,0.14792575210550732
Azerbaijan,AZE,2005,146.717465138052,8.12,91.88,59.33625793,0.23609376999119117
Bangladesh,BGD,2005,41.5811443703718,12.34,87.66,65.38332367,0.444507986135845
Bulgaria,BGR,2005,706.363755559382,10.34,89.66,38.86741257,0.14754319399403817
Bahrain,BHR,2005,1467.96388028201,3.23,96.77,27.47366142,0.10276871263764105
Belarus,BLR,2005,604.64415090204,2.35,97.65,21.783041,0.20562913418928058
Canada,CAN,2005,3262.43880505192,3.7,96.3,15.36829376,0.05588921732848875
Czechia,CZE,2005,1402.73724293634,0.94,99.06,11.09285259,0.12407539720856733
Estonia,EST,2005,878.235843087226,10.79,89.21000000000001,23.02486992,0.15723828604043735
Gabon,GAB,2005,404.735291547992,5.67,94.33,51.96595001,0.15848638771893836
United Kingdom,GBR,2005,2742.26924220039,2.03,97.97,13.43031788,0.06630605011074067
Georgia,GEO,2005,418.119640413477,15.04,84.96000000000001,79.585495,0.11581419971334043
Ghana,GHA,2005,107.10340128819,3.11,96.89,23.53275681,0.4050462604503714
Hungary,HUN,2005,1364.59936227295,10.62,89.38,25.76445389,0.11032862082340586
Indonesia,IDN,2005,168.920594088728,2.14,97.86,55.3282814,0.2182829263763465
"Iran, Islamic Rep.",IRN,2005,719.539663197571,11.31,88.69,56.094944,0.12117696864303205
Israel,ISR,2005,1822.04175177104,12.7,87.3,30.24324989,0.08501593108945206
Kazakhstan,KAZ,2005,516.04855836536,1.7,98.3,34.41242981,0.18371627530813892
Kenya,KEN,2005,98.8573699282759,5.55,94.45,45.22662354,0.3363331394595887
Kyrgyz Republic,KGZ,2005,174.893759506111,4.61,95.39,42.56970215,0.23115371557097977
"Korea, Rep.",KOR,2005,1226.39808628021,9.59,90.41,44.41871262,0.10118219373051415
Sri Lanka,LKA,2005,220.283518609559,6.28,93.72,40.50283051,0.22560576618247102
Latvia,LVA,2005,807.581992358066,12.48,87.52,41.69103241,0.13289852819827852
Moldova,MDA,2005,314.521027376197,10.75,89.25,42.76385117,0.1961627282276918
Madagascar,MDG,2005,70.020143377452,0.21,99.79,33.02706909,0.7037027486371312
North Macedonia,MKD,2005,587.454313016582,7.06,92.94,41.23845673,0.15710887269592141
Niger,NER,2005,52.0516021208594,3.74,96.26,51.34446335,0.45627480977647095
Poland,POL,2005,806.794338027663,14.61,85.39,27.74561501,0.1567115446902558
West Bank and Gaza,PSE,2005,330.048956955114,6.25,93.75,37.0,0.2124913167874729
Romania,ROU,2005,529.231123306773,10.06,89.94,18.49896812,0.23751631591891548
Rwanda,RWA,2005,70.5974462238243,2.35,97.65,23.80013084,0.5181275536949568
Senegal,SEN,2005,86.3619946665707,1.38,98.62,39.51602173,0.38497578152640466
Serbia,SRB,2005,759.03666897031,10.83,89.17,29.81834602,0.15855510616071394
Slovak Republic,SVK,2005,1096.34465541369,5.1,94.9,23.60951996,0.13298235520253326
Trinidad and Tobago,TTO,2005,1011.01113708389,2.58,97.42,46.24819565,0.11192866872812038
Tunisia,TUN,2005,415.488201597353,21.91,78.09,42.11570358,0.17986456328912254
Turkiye,TUR,2005,575.372111403113,5.11,94.89,24.17697906,0.2036892108380872
Uganda,UGA,2005,74.2251793934364,20.3,79.7,48.59907532,0.389802599605235
Ukraine,UKR,2005,436.569430634796,8.2,91.8,37.95809555,0.18770326454473546
Uruguay,URY,2005,1036.10679738419,4.54,95.46,25.94186974,0.13507731496056963
United States,USA,2005,6428.60205272132,5.67,94.33,13.9126749,0.029481507548355105
"Yemen, Rep.",YEM,2005,162.079144385695,15.4,84.6,64.78065491,0.2145181265335896
South Africa,ZAF,2005,716.452186733678,1.75,98.25,11.31283569,0.21844292364314202
Armenia,ARM,2006,371.503625829309,10.83,89.17,61.17357254,0.14508509984545778
Burundi,BDI,2006,50.4960159826945,12.46,87.53999999999999,39.72788239,0.5271868284082997
Belarus,BLR,2006,633.415825062601,2.86,97.14,24.38873672,0.1914704829795786
Canada,CAN,2006,3536.91768422493,4.0,96.0,15.88811302,0.05172041863783555
Switzerland,CHE,2006,4436.50621101903,9.11,90.89,27.3494606,0.04022749103216112
Chile,CHL,2006,941.869297803874,9.19,90.81,40.74998093,0.12296410581856956
Czechia,CZE,2006,1476.81127694482,0.92,99.08,11.6460247,0.11788902372217422
Spain,ESP,2006,2441.96995138065,5.42,94.58,22.04916763,0.07015391460534812
Finland,FIN,2006,2854.29498099062,7.12,92.88,18.81658745,0.06213909324223159
Georgia,GEO,2006,448.921563598531,16.29,83.71000000000001,77.264328,0.11625269732316448
Hungary,HUN,2006,1429.15092740082,10.09,89.91,25.01134109,0.10716410013325771
Indonesia,IDN,2006,187.56033863635,1.82,98.18,53.37503815,0.20472500403333233
India,IND,2006,118.165322607228,16.84,83.16,72.25708008,0.2520277840717092
Iraq,IRQ,2006,254.9340314096,3.29,96.71,32.58729172,0.25236619261475646
Israel,ISR,2006,1820.61273784922,11.28,88.72,25.72410393,0.08782723223509127
Kyrgyz Republic,KGZ,2006,205.963879149226,3.96,96.04,39.18014526,0.23521546530577478
Kiribati,KIR,2006,195.145513519676,0.0,100.0,0.05934824,1.0000000000000002
"Korea, Rep.",KOR,2006,1398.63571125546,10.78,89.22,42.52562332,0.09427892816997342
Sri Lanka,LKA,2006,241.048458495878,5.55,94.45,40.94941711,0.21858451877219118
Latvia,LVA,2006,900.809029595684,10.91,89.09,35.59818268,0.1332950614045382
Morocco,MAR,2006,261.33224457844,22.0,78.0,58.74881363,0.16306361573343492
Moldova,MDA,2006,375.941456963825,15.06,84.94,46.45158386,0.17506023439614582
North Macedonia,MKD,2006,626.553264317525,7.84,92.16,37.00005722,0.16082049237320878
Mali,MLI,2006,82.2214126791613,3.38,96.62,56.74286652,0.34388918056031204
Mauritius,MUS,2006,443.192419813241,4.94,95.06,52.91299438,0.15190229249199946
Peru,PER,2006,313.753413329789,10.74,89.26,40.32910538,0.2042913445574215
Philippines,PHL,2006,172.966556900955,4.39,95.61,54.03545761,0.2159176338500901
Poland,POL,2006,878.891553239223,13.82,86.18,27.10572624,0.14933101103793886
West Bank and Gaza,PSE,2006,313.988631981815,7.15,92.85,41.29999924,0.20098508459823744
Romania,ROU,2006,584.294952842328,10.62,89.38,19.99056435,0.21678320275216312
Serbia,SRB,2006,865.523312455179,10.28,89.72,32.84013367,0.14090710473863427
Slovak Republic,SVK,2006,1295.77939892026,3.76,96.24,26.58822823,0.11389280835071396
Seychelles,SYC,2006,667.073607342364,0.07,99.93,19.81629562,0.23152428399943706
Togo,TGO,2006,57.924800034909,10.65,89.35,73.64611053,0.3553142919731478
Thailand,THA,2006,338.253744775406,3.59,96.41,17.65686226,0.31570244047042345
Turkiye,TUR,2006,694.463456352896,5.0,95.0,23.6489296,0.1826948593700224
Ukraine,UKR,2006,492.702278504541,8.36,91.64,36.13279724,0.18299338417567057
United States,USA,2006,6802.47531175785,5.42,94.58,13.67793274,0.027927524896695595
Viet Nam,VNM,2006,193.640564043264,14.41,85.59,34.69738388,0.26162074813362546
Zambia,ZMB,2006,132.630006451562,1.85,98.15,25.69581223,0.3602624956790871
Afghanistan,AFG,2007,112.257676068474,4.84,95.16,78.16998291,0.25087265048336016
Armenia,ARM,2007,409.876589128493,8.3,91.7,58.22918701,0.14603596640101507
Bosnia and Herzegovina,BIH,2007,783.072519407999,10.25,89.75,44.27066803,0.1314006461373299
Belarus,BLR,2007,724.905798469884,3.43,96.57,25.79533768,0.1722885682625102
Bhutan,BTN,2007,200.374591325424,3.43,96.57,14.33664703,0.4559648304782384
Canada,CAN,2007,3710.89179416931,4.0,96.0,15.61163616,0.049506612863615955
Switzerland,CHE,2007,4799.64459898341,10.36,89.64,27.33333206,0.03744036563591872
China,CHN,2007,249.507331917602,18.44,81.56,51.29121017,0.18305053597740312
Cameroon,CMR,2007,106.932220315413,8.01,91.99,75.56835175,0.26163226672586853
Cabo Verde,CPV,2007,213.885371355189,2.05,97.95,22.91623306,0.3374934176151961
Czechia,CZE,2007,1580.4068099117,1.42,98.58,13.63102531,0.10901533240546545
Dominican Republic,DOM,2007,408.435473321699,17.66,82.34,46.18055725,0.1707685140440624
Spain,ESP,2007,2616.33450211378,5.4,94.6,21.9079361,0.06608506941009659
Georgia,GEO,2007,509.377429745209,17.74,82.26,75.67359161,0.11389156978224778
Hungary,HUN,2007,1374.43367482925,11.54,88.46000000000001,26.2612381,0.10923505992831005
Indonesia,IDN,2007,217.952233217532,2.54,97.46,49.54561996,0.19381957713841538
India,IND,2007,125.625045286917,12.98,87.02,70.81672668,0.24499001678964288
"Iran, Islamic Rep.",IRN,2007,783.170073777322,11.41,88.59,53.21485901,0.11988151478675091
Israel,ISR,2007,1945.01643137125,12.12,87.88,26.66324234,0.08266429964357054
Kazakhstan,KAZ,2007,448.215051223121,3.29,96.71,32.77426147,0.20147419527221178
Kyrgyz Republic,KGZ,2007,190.386904926958,2.64,97.36,42.91151428,0.2233715117694018
St. Kitts and Nevis,KNA,2007,1021.86425510155,4.13,95.87,51.09035492,0.10655048840554386
"Korea, Rep.",KOR,2007,1516.24020907675,11.83,88.17,40.57471085,0.09052101568564994
Lao PDR,LAO,2007,106.445277999075,10.12,89.88,35.17124939,0.34556500641540355
Liberia,LBR,2007,52.6807179584917,7.86,92.14,42.22309875,0.5008549548081505
Latvia,LVA,2007,1001.82521819784,15.37,84.63,36.82770538,0.12318694231896057
Moldova,MDA,2007,416.696585079543,14.45,85.55,45.09947968,0.17212646332002762
Pakistan,PAK,2007,96.3473914159621,2.71,97.29,71.69874573,0.2836127078354398
Panama,PAN,2007,996.273372500364,3.31,96.69,29.96040154,0.13283108465328544
Poland,POL,2007,986.993088290802,14.18,85.82,26.29073715,0.13925222531940593
West Bank and Gaza,PSE,2007,298.075140046378,9.39,90.61,37.29999924,0.2189365358560325
Romania,ROU,2007,680.145225085951,10.57,89.43,17.59607506,0.2038295355267305
Serbia,SRB,2007,1051.51854596173,11.41,88.59,34.712883,0.12197545394682847
Slovak Republic,SVK,2007,1523.9607583405,3.74,96.26,27.370327,0.09992302624403042
