Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,OOP_pct
Spain,ESP,2006,0.07015391460534812,94.58,2441.96995138065,22.04916763
Finland,FIN,2006,0.06213909324223159,92.88,2854.29498099062,18.81658745
Georgia,GEO,2006,0.11625269732316448,83.71000000000001,448.921563598531,77.264328
Hungary,HUN,2006,0.10716410013325771,89.91,1429.15092740082,25.01134109
Indonesia,IDN,2006,0.20472500403333233,98.18,187.56033863635,53.37503815
India,IND,2006,0.2520277840717092,83.16,118.165322607228,72.25708008
Iraq,IRQ,2006,0.25236619261475646,96.71,254.9340314096,32.58729172
Israel,ISR,2006,0.08782723223509127,88.72,1820.61273784922,25.72410393
Kyrgyz Republic,KGZ,2006,0.23521546530577478,96.04,205.963879149226,39.18014526
Kiribati,KIR,2006,1.0000000000000002,100.0,195.145513519676,0.05934824
"Korea, Rep.",KOR,2006,0.09427892816997342,89.22,1398.63571125546,42.52562332
Sri Lanka,LKA,2006,0.21858451877219118,94.45,241.048458495878,40.94941711
Latvia,LVA,2006,0.1332950614045382,89.09,900.809029595684,35.59818268
Morocco,MAR,2006,0.16306361573343492,78.0,261.33224457844,58.74881363
Moldova,MDA,2006,0.17506023439614582,84.94,375.941456963825,46.45158386
North Macedonia,MKD,2006,0.16082049237320878,92.16,626.553264317525,37.00005722
Mali,MLI,2006,0.34388918056031204,96.62,82.2214126791613,56.74286652
Mauritius,MUS,2006,0.15190229249199946,95.06,443.192419813241,52.91299438
Peru,PER,2006,0.2042913445574215,89.26,313.753413329789,40.32910538
Philippines,PHL,2006,0.2159176338500901,95.61,172.966556900955,54.03545761
Poland,POL,2006,0.14933101103793886,86.18,878.891553239223,27.10572624
West Bank and Gaza,PSE,2006,0.20098508459823744,92.85,313.988631981815,41.29999924
Romania,ROU,2006,0.21678320275216312,89.38,584.294952842328,19.99056435
Serbia,SRB,2006,0.14090710473863427,89.72,865.523312455179,32.84013367
Slovak Republic,SVK,2006,0.11389280835071396,96.24,1295.77939892026,26.58822823
Seychelles,SYC,2006,0.23152428399943706,99.93,667.073607342364,19.81629562
Togo,TGO,2006,0.3553142919731478,89.35,57.924800034909,73.64611053
