iso3,country,year,income_group,fpe_score,phi,peers
KAZ,Kazakhstan,2010,UM,1.0000000000000002,0.9999999999999999,KAZ
LVA,Latvia,2010,UM,0.8476102753044724,1.1797874909442163,JOR
MEX,Mexico,2010,UM,0.9939617234674036,1.0060749588138385,JOR
MKD,North Macedonia,2010,UM,0.943008778539441,1.0604355152969294,"JOR,KAZ"
PER,Peru,2010,UM,1.0000000000000002,0.9999999999999999,PER
ROU,Romania,2010,UM,0.9999999999999998,1.0000000000000002,ROU
RUS,Russian Federation,2010,UM,0.984546105823355,1.0156964656964655,JOR
TUN,Tunisia,2010,UM,0.8591183233853573,1.1639840203378484,"JOR,KAZ"
EST,Estonia,2010,H,1.0,1.0,EST
GRC,Greece,2010,H,0.935862295800899,1.0685332708528585,EST
ITA,Italy,2010,H,1.0000000000000002,0.9999999999999999,ITA
POL,Poland,2010,H,1.0,1.0,POL
ARM,Armenia,2011,LM,0.887531806615776,1.1267201834862386,MNG
GEO,Georgia,2011,LM,0.7738422391857507,1.2922530580034197,MNG
GTM,Guatemala,2011,LM,0.9225445292620866,1.0839585172109443,MNG
IDN,Indonesia,2011,LM,1.0,1.0,IDN
IND,India,2011,LM,1.0,1.0,IND
MNG,Mongolia,2011,LM,1.0000000000000002,0.9999999999999999,MNG
PRY,Paraguay,2011,LM,0.9105343511450383,1.0982562038900066,MNG
UKR,Ukraine,2011,LM,0.9464631043256998,1.0565652220668889,MNG
BIH,Bosnia and Herzegovina,2011,UM,0.9314454517673423,1.0736001749781279,KAZ
BLR,Belarus,2011,UM,0.9714780482835899,1.0293593373178147,KAZ
ECU,Ecuador,2011,UM,0.8315167566466335,1.202621585201519,KAZ
KAZ,Kazakhstan,2011,UM,1.0,1.0,KAZ
LVA,Latvia,2011,UM,0.8291738820413569,1.2060196560196559,KAZ
MNE,Montenegro,2011,UM,0.9238056432718753,1.0824787738449664,KAZ
PER,Peru,2011,UM,1.0,1.0,PER
ROU,Romania,2011,UM,1.0,1.0,ROU
RUS,Russian Federation,2011,UM,0.9788122644392381,1.0216463731917993,KAZ
ARM,Armenia,2012,LM,0.8800081766148814,1.1363530778164925,MNG
BTN,Bhutan,2012,LM,1.0,1.0,BTN
GEO,Georgia,2012,LM,0.7838307440719542,1.2757856304602948,MNG
IDN,Indonesia,2012,LM,1.0,1.0,IDN
MNG,Mongolia,2012,LM,1.0,1.0,MNG
PHL,Philippines,2012,LM,0.9999999999999998,1.0000000000000002,PHL
UKR,Ukraine,2012,LM,0.9434791496320524,1.0599068356624417,MNG
VNM,Viet Nam,2012,LM,0.9373264732346853,1.0668641381151118,"BTN,IDN,MNG"
ALB,Albania,2012,UM,0.8491923754628019,1.1775894707662788,"IRQ,KAZ"
BLR,Belarus,2012,UM,0.9610561729024365,1.0405219051660126,KAZ
CRI,Costa Rica,2012,UM,1.0,1.0,CRI
IRQ,Iraq,2012,UM,1.0,1.0,IRQ
KAZ,Kazakhstan,2012,UM,1.0,1.0,KAZ
MEX,Mexico,2012,UM,0.9937812213273524,1.0062576938859253,KAZ
MNE,Montenegro,2012,UM,0.9401569986746865,1.063652136196053,KAZ
MUS,Mauritius,2012,UM,0.9624834335814048,1.0389789217243937,KAZ
PER,Peru,2012,UM,1.0,1.0,PER
ROU,Romania,2012,UM,1.0,1.0,ROU
LVA,Latvia,2012,H,0.9999999999999991,1.0000000000000009,LVA
POL,Poland,2012,H,1.0,1.0,POL
RUS,Russian Federation,2012,H,1.0,1.0,RUS
ARM,Armenia,2013,LM,0.8721171826303761,1.1466349017272186,IDN
GEO,Georgia,2013,LM,0.7831913567421567,1.2768271654065526,IDN
IDN,Indonesia,2013,LM,1.0,1.0,IDN
MAR,Morocco,2013,LM,0.8996467899439017,1.1115473441108548,IDN
UKR,Ukraine,2013,LM,0.9999999999999998,1.0000000000000002,UKR
BLR,Belarus,2013,UM,0.9469396068846114,1.0560335556033555,KAZ
CHN,China,2013,UM,0.8831829770851225,1.1322682003002629,"KAZ,PER"
ECU,Ecuador,2013,UM,0.9134331398309399,1.0947708774668303,KAZ
KAZ,Kazakhstan,2013,UM,1.0,1.0,KAZ
MNE,Montenegro,2013,UM,0.9254506568897037,1.0805546384945526,KAZ
PER,Peru,2013,UM,1.0000000000000002,0.9999999999999999,PER
ROU,Romania,2013,UM,1.0000000000000002,0.9999999999999999,ROU
SRB,Serbia,2013,UM,0.9264690905387514,1.0793668242277674,KAZ
LVA,Latvia,2013,H,1.0,1.0,LVA
POL,Poland,2013,H,1.0000000000000002,0.9999999999999998,POL
RUS,Russian Federation,2013,H,1.0,1.0,RUS
ARM,Armenia,2014,LM,0.8421878268144739,1.1873835837576059,IDN
GTM,Guatemala,2014,LM,0.9260614934114201,1.0798418972332018,IDN
IDN,Indonesia,2014,LM,1.0,1.0,IDN
NIC,Nicaragua,2014,LM,0.9999999999999998,1.0000000000000002,NIC
TJK,Tajikistan,2014,LM,1.0000000000000002,0.9999999999999999,TJK
UKR,Ukraine,2014,LM,0.9646517464965487,1.0366435385949697,IDN
