Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,GGHE_pct
Lithuania,LTU,2003,0.10425483823477821,88.49,743.03580632439,13.67591095
Latvia,LVA,2003,0.15760205161874508,89.5,603.085565731893,8.08213711
Moldova,MDA,2003,0.21897245436681256,89.39,188.043305083102,9.59353638
North Macedonia,MKD,2003,0.11689570480350359,93.27,578.590105129344,13.76112652
Nigeria,NGA,2003,0.4195206985388394,77.47,151.947780877129,4.00685167
Nepal,NPL,2003,0.4271851707417987,90.03,63.9174537235156,5.52154541
Panama,PAN,2003,0.09943418555596231,88.07,626.215378006361,17.18168831
Philippines,PHL,2003,0.3883086479831755,97.06,115.727563442286,5.4588623
Poland,POL,2003,0.1422818089572561,88.27,731.393089609383,8.952384
Romania,ROU,2003,0.13961122308022592,92.05,405.095649398029,12.99804401
Russian Federation,RUS,2003,0.2982326757651965,98.59,508.002454591701,9.20299911
Sierra Leone,SLE,2003,0.4263243085391307,64.07,68.440240316632,5.45097542
Serbia,SRB,2003,0.11723288156589186,92.25,585.422590251339,13.56351852
Syrian Arab Republic,SYR,2003,0.24189189037356076,94.46,233.125708036007,7.51466179
Chad,TCD,2003,0.33053055771386264,93.72,59.3205798268326,8.98155689
Turkiye,TUR,2003,0.15832247552911943,95.27,473.913584390073,9.29146957
Ukraine,UKR,2003,0.17755494310608458,89.78,363.412242510875,9.38550282
United States,USA,2003,0.07276369945837194,94.21,5732.24369331565,17.5054512
Uzbekistan,UZB,2003,0.3028172463930237,93.34,185.780236308559,6.01096392
Argentina,ARG,2004,0.09269985329766642,83.1,859.721256884155,14.93299007
Armenia,ARM,2004,0.2506334774693359,83.53999999999999,277.528911953218,6.27547503
Azerbaijan,AZE,2004,0.47342482564203653,92.37,134.272396332243,3.55759931
Belarus,BLR,2004,0.14814883212499871,96.73,502.898047572918,9.99574471
Canada,CAN,2004,0.075254369606267,96.8,3057.41927474776,16.9260788
"Congo, Dem. Rep.",COD,2004,1.0,94.19,19.7649795275692,2.49895263
Costa Rica,CRI,2004,0.07620289188451801,95.64,638.741883417573,25.73747253
Czechia,CZE,2004,0.27829598964595886,99.18,1329.6021429386,13.14472771
Estonia,EST,2004,0.110673081999356,88.43,773.81126179819,11.50922489
Ethiopia,ETH,2004,1.0000000000000824,99.18,24.082866233605,5.72665405
Georgia,GEO,2004,0.21899701984789763,88.24,367.732594270678,6.25
Honduras,HND,2004,0.32956823957500836,98.86,205.734823839806,9.59641266
Croatia,HRV,2004,0.12019632476509486,97.61,954.518033212497,10.59734058
Hungary,HUN,2004,0.11489320909489757,89.73,1260.98469924248,11.08648109
Indonesia,IDN,2004,0.4461114037600693,97.94,131.431859149521,4.20149517
Israel,ISR,2004,0.13294930999335405,87.63,1823.98454141895,9.58080482
Jamaica,JAM,2004,0.18222171657311598,89.8,434.746511794726,7.64527464
Kazakhstan,KAZ,2004,0.14748551223528963,97.37,469.091390586397,10.94160748
Kyrgyz Republic,KGZ,2004,0.26383331345951666,91.38,142.612046533621,8.21259594
"Korea, Rep.",KOR,2004,0.1534677456912782,91.75,1102.66498622514,8.29986382
Lithuania,LTU,2004,0.12572611090348967,88.02,713.57653964931,10.13123989
Latvia,LVA,2004,0.128144116944377,87.92,757.087107803931,9.9400692
Moldova,MDA,2004,0.14195875122072768,90.56,265.744397851625,15.25031948
Maldives,MDV,2004,0.13264107014968496,92.67,828.120500716886,9.60306931
North Macedonia,MKD,2004,0.11543160325658823,92.81,591.410797433509,13.83370781
Mauritania,MRT,2004,0.5989900253997436,89.46000000000001,98.0962952420062,2.96115541
Malawi,MWI,2004,0.9644549797164821,99.69,40.6890652066302,4.99515104
Pakistan,PAK,2004,0.5669022154342662,96.63,62.0847512223923,4.51193905
Poland,POL,2004,0.13982170212338935,87.26,783.504642444952,9.10989761
West Bank and Gaza,PSE,2004,0.21944541795386663,92.09,304.624445897564,7.39701176
Romania,ROU,2004,0.1359219757796387,90.38,490.854630694608,11.96030045
Russian Federation,RUS,2004,0.1512399321475545,97.56,517.623550729638,9.44207001
Serbia,SRB,2004,0.10994076653913383,91.43,664.98300282741,13.70559883
Slovak Republic,SVK,2004,0.09715950763981987,94.72,970.308366603134,13.11000252
Thailand,THA,2004,0.17685676237687636,96.17,299.621550631869,10.7134676
Turkiye,TUR,2004,0.14345803158813691,94.43,526.652459743728,10.18661499
Ukraine,UKR,2004,0.1844073996511393,89.67,395.913880548956,8.1810751
United States,USA,2004,0.07105288367662496,94.42,6071.84414824311,17.92694855
Viet Nam,VNM,2004,0.24660151667921817,84.09,157.804286595422,8.6892519
Zambia,ZMB,2004,0.38288697264356447,97.21,113.031216336957,5.65226936
Albania,ALB,2005,0.1859002962226131,80.49,328.991135915059,9.30094719
Armenia,ARM,2005,0.2148564880755317,87.96000000000001,317.313182370138,7.44000816
Azerbaijan,AZE,2005,0.4285931235228964,91.88,146.717465138052,3.95949173
Bangladesh,BGD,2005,0.5552977774183794,87.66,41.5811443703718,4.38883734
Bulgaria,BGR,2005,0.11792850908025967,89.66,706.363755559382,11.16988087
Bahrain,BHR,2005,0.13938522317796243,96.77,1467.96388028201,9.13842487
Belarus,BLR,2005,0.1351736365623072,97.65,604.64415090204,10.05169773
Canada,CAN,2005,0.07435400821496109,96.3,3262.43880505192,17.13103867
Czechia,CZE,2005,0.27224206197640965,99.06,1402.73724293634,12.75457001
Estonia,EST,2005,0.11004098191025721,89.21000000000001,878.235843087226,11.57533646
Gabon,GAB,2005,0.2508983424691783,94.33,404.735291547992,5.07680273
United Kingdom,GBR,2005,0.10071565148854275,97.97,2742.26924220039,17.72014999
Georgia,GEO,2005,0.22839248946849772,84.96000000000001,418.119640413477,5.57707214
Ghana,GHA,2005,0.2613098560400501,96.89,107.10340128819,13.63450813
Hungary,HUN,2005,0.11214361581616912,89.38,1364.59936227295,11.35830498
Indonesia,IDN,2005,0.3991676847480891,97.86,168.920594088728,4.2081809
"Iran, Islamic Rep.",IRN,2005,0.141441245723091,88.69,719.539663197571,9.00558662
Israel,ISR,2005,0.13307693992079453,87.3,1822.04175177104,9.57161617
Kazakhstan,KAZ,2005,0.19909506148590414,98.3,516.04855836536,11.53032875
Kenya,KEN,2005,0.3283183757181906,94.45,98.8573699282759,6.89238787
Kyrgyz Republic,KGZ,2005,0.1777501455002918,95.39,174.893759506111,13.06986713
"Korea, Rep.",KOR,2005,0.14340329411336644,90.41,1226.39808628021,8.8823719
Sri Lanka,LKA,2005,0.20140306547206446,93.72,220.283518609559,10.13588715
Latvia,LVA,2005,0.136421859558345,87.52,807.581992358066,9.33693027
Moldova,MDA,2005,0.1475596138071698,89.25,314.521027376197,13.57666016
Madagascar,MDG,2005,0.564535327482173,99.79,70.020143377452,10.54040527
North Macedonia,MKD,2005,0.11751140236829061,92.94,587.454313016582,13.46777534
Niger,NER,2005,0.36663685879068375,96.26,52.0516021208594,12.34742451
Poland,POL,2005,0.14160785124939446,85.39,806.794338027663,8.9949913
West Bank and Gaza,PSE,2005,0.20066716244384858,93.75,330.048956955114,8.14653969
Romania,ROU,2005,0.12459685342228743,89.94,529.231123306773,13.16346741
Rwanda,RWA,2005,0.4534280588313015,97.65,70.5974462238243,8.09271908
Senegal,SEN,2005,0.438636925386549,98.62,86.3619946665707,8.54413509
Serbia,SRB,2005,0.10335073007744046,89.17,759.03666897031,13.61884022
Slovak Republic,SVK,2005,0.10027728856937897,94.9,1096.34465541369,12.70239162
Trinidad and Tobago,TTO,2005,0.15871007935656,97.42,1011.01113708389,8.02571201
Tunisia,TUN,2005,0.15025631117398058,78.09,415.488201597353,11.35010338
Turkiye,TUR,2005,0.1363349437709232,94.89,575.372111403113,10.3244648
