Country Name,che,predicted_che,residuals
Serbia,9.20909090909091,8.694484416380106,0.5146064927108043
Armenia,15.526499999999999,15.046367710409127,0.4801322895908715
Lao PDR,8.77,8.323559954694344,0.4464400453056552
Botswana,2.66,2.5061686557835268,0.15383134421647338
Malawi,2.87,2.7347541929300405,0.1352458070699596
Iraq,8.853333333333333,8.7303334206329,0.12299991270043265
Bhutan,4.2,4.143521822168,0.05647817783200004
Bolivia,7.115555555555556,7.139180521178067,-0.023624965622510707
Rwanda,3.3925,3.4206058787373106,-0.02810587873731052
Timor-Leste,2.485,2.5469754650544933,-0.06197546505449347
Belarus,6.357727272727273,6.442396281193028,-0.08466900846575509
Benin,9.405000000000001,9.532343240322856,-0.1273432403228547
Ireland,5.59,5.740027480768885,-0.15002748076888484
Burundi,6.84,7.055195379148597,-0.21519537914859743
Luxembourg,3.7489999999999997,3.9915407509452905,-0.24254075094529082
Singapore,9.01,9.345843995649961,-0.33584399564996126
Spain,6.273571428571429,6.841543128567344,-0.5679716999959155
Belize,6.2,6.775667446642653,-0.5756674466426528
Mauritania,11.1,11.74862622339738,-0.6486262233973807
Lesotho,4.51,5.26746561691469,-0.7574656169146898
Cameroon,13.1,13.985237992516234,-0.8852379925162346
Slovenia,3.518,4.4255295554971745,-0.9075295554971747
Nepal,10.196000000000002,11.132495181086382,-0.9364951810863804
Montenegro,8.124545454545455,9.078969477207256,-0.9544240226618008
Suriname,4.87,5.859735030353413,-0.9897350303534127
Mozambique,1.8025,2.889671234828264,-1.0871712348282638
West Bank and Gaza,7.804285714285713,8.905654261163612,-1.1013685468778984
Myanmar,13.265,14.398636925288486,-1.133636925288485
United States,4.999999999999999,6.193531227515502,-1.1935312275155026
Ukraine,8.182777777777778,9.555072511808348,-1.3722947340305698
Kiribati,0.0,1.3981007818135323,-1.3981007818135323
Slovak Republic,4.14125,5.801348535066547,-1.6600985350665463
Kenya,5.37,7.129619560422268,-1.7596195604222675
Croatia,2.48,4.3405014252444225,-1.8605014252444225
Qatar,1.3,3.196906480094913,-1.896906480094913
Mongolia,5.181,7.1065746511701215,-1.9255746511701215
South Africa,1.9033333333333335,3.993072211528395,-2.089738878195061
Paraguay,9.885,12.049442553123262,-2.164442553123262
Thailand,2.744210526315789,5.117372949302274,-2.3731624229864847
Bahrain,4.055,6.473911650757822,-2.4189116507578223
Tanzania,4.297499999999999,6.725428182398519,-2.42792818239852
Denmark,2.93,5.458580467942906,-2.528580467942906
Burkina Faso,5.869999999999999,8.479409538281576,-2.609409538281577
Canada,3.5733333333333333,6.199447310319851,-2.6261139769865176
North Macedonia,6.868,9.56131334340462,-2.69331334340462
Gabon,4.75,7.550579000725422,-2.8005790007254223
Saudi Arabia,1.52,4.356467190568786,-2.836467190568786
Namibia,1.37,4.217871324921008,-2.847871324921008
Zambia,1.3025,4.287435068916978,-2.984935068916978
Czechia,1.7811111111111113,4.9415964045991405,-3.160485293488029
"Congo, Rep.",4.58,7.904216181267937,-3.3242161812679365
Fiji,0.78,4.402723538095492,-3.6227235380954914
Uruguay,3.325,7.129563643609679,-3.8045636436096792
Central African Republic,6.75,10.586534652399484,-3.836534652399484
"Gambia, The",0.405,4.249731186767717,-3.844731186767717
Russian Federation,3.9608333333333334,7.849594888326235,-3.888761554992902
Cabo Verde,2.4299999999999997,6.337727680417679,-3.907727680417679
"Congo, Dem. Rep.",5.3149999999999995,9.288246490908945,-3.973246490908945
Seychelles,1.315,5.445466482060456,-4.130466482060456
Panama,6.132499999999999,10.271303823603919,-4.1388038236039195
Germany,1.53,5.680109807550371,-4.150109807550371
Australia,2.4000000000000004,6.551285219013864,-4.151285219013864
Mauritius,6.243333333333333,10.459769593931432,-4.2164362605980985
Tajikistan,9.375714285714285,13.610457988072815,-4.23474370235853
Chad,8.09,12.345495469086405,-4.255495469086405
United Kingdom,2.0569999999999995,6.35887510305123,-4.3018751030512306
Costa Rica,6.53,10.897613900251395,-4.367613900251395
United Arab Emirates,0.372,4.752551404635988,-4.380551404635988
Djibouti,1.6199999999999999,6.130511218329214,-4.5105112183292135
Syrian Arab Republic,6.21,10.731214393695238,-4.521214393695238
Sri Lanka,5.548,10.089754318798137,-4.541754318798137
