iso3,country,income_group,income_label,mean_fpe,min_fpe,max_fpe,n_years,n_frontier_total,n_frontier_eligible,best_year,worst_year,mean_uhc_sci,trend,learn_from,rank_in_group
MLI,Mali,L,Low Income,0.9979,0.9898,1.0,10,7,0,2016,2009,0.0,Stable,"MNG, ZMB",5
BFA,Burkina Faso,L,Low Income,0.9838,0.935,1.0,4,3,0,2003,2018,0.0,Declining,GIN,6
TCD,Chad,L,Low Income,0.9555,0.9305,1.0,3,1,0,2003,2011,0.0,Declining,MNG,7
HTI,Haiti,L,Low Income,0.917,0.8993,0.9348,2,0,0,2012,2013,0.0,Insufficient data,"BTN, GHA, MDG",8
LBR,Liberia,L,Low Income,0.9147,0.8009,1.0,3,1,1,2007,2014,100.0,Declining,"ZAF, RWA",9
AFG,Afghanistan,L,Low Income,0.9039,0.7705,1.0,4,1,0,2020,2016,0.0,Declining,"RWA, CPV, PAK",10
SDN,Sudan,L,Low Income,0.8684,0.8364,0.9005,2,0,0,2014,2009,100.0,Insufficient data,"MNG, ZAF",11
SLE,Sierra Leone,L,Low Income,0.7234,0.6409,0.8496,3,0,0,2018,2011,100.0,Improving,"PHL, MNG, GIN",12
BWA,Botswana,Unknown,Unknown,1.0,1.0,1.0,2,2,2,2009,2009,100.0,Insufficient data,—,1
SWZ,Eswatini,Unknown,Unknown,1.0,1.0,1.0,2,2,2,2000,2000,100.0,Insufficient data,—,1
COM,Comoros,Unknown,Unknown,0.9399,0.9399,0.9399,1,0,0,2014,2014,100.0,Insufficient data,ZAF,3
BRB,Barbados,Unknown,Unknown,0.846,0.846,0.846,1,0,0,2016,2016,100.0,Insufficient data,RWA,4
AGO,Angola,Unknown,Unknown,0.8289,0.6579,1.0,2,1,1,2008,2018,100.0,Insufficient data,GIN,5
