iso3,year,fpe_score,CHE_pc,OOP_pct,GGHE_pct,CHE_pct_GDP,UHC_index,Impoverishing_incidence,CHE_incidence_10
VNM,2004,1.0,31.97719193,0.0,8.6892519,4.08791971,28.583117002283394,12.192,40.64
ALB,2005,0.51227521298226,149.97515869,0.0,9.30094719,5.6621623,36.870857862684886,9.324,31.08
ARM,2005,0.5985157330732512,95.55093384,0.0,7.44000816,5.8618803,33.90091145319343,4.821,16.07
AZE,2005,0.9999999998083781,34.35204697,0.0,3.95949173,2.22960997,33.970848893677115,5.648999999999999,18.83
BGD,2005,0.999999999821195,11.31403732,0.0,4.38883734,2.05873919,27.724835562719313,4.335,14.45
BLR,2005,0.48851344791621,196.13806152,0.0,10.05169773,6.07036304,37.55994579728122,2.469,8.23
CAN,2005,1.0,3268.46850586,0.0,17.13103867,9.03529835,50.4543628322367,3.27,10.9
GAB,2005,0.8439836604228043,188.91426086,0.0,5.07680273,2.92175174,41.44393596789324,3.339,11.13
GEO,2005,0.7099588517361786,132.22496033,30.954116845786217,5.57707214,8.07734203,34.18089806983137,8.963999999999999,29.88
GHA,2005,0.7403115463169535,38.51657486,0.0,13.63450813,3.27344108,27.708712702502243,1.845,6.15
HUN,2005,1.0,895.20330811,0.0,11.35830498,7.99248505,44.26971338071694,12.411,41.37
IDN,2005,0.99999999998191,34.09753036,0.0,4.2081809,2.53189397,32.69642605113382,1.7009999999999998,5.67
KEN,2005,0.689206169285297,30.9943428,0.0,6.89238787,4.2174139,28.17837133372833,3.627,12.09
KGZ,2005,0.6373324059891977,34.93693161,0.0,13.06986713,7.45010662,27.686055088050903,3.3059999999999996,11.02
MKD,2005,0.4061442116635645,229.81243896,0.0,13.46777534,7.67907524,37.551390010571666,7.6499999999999995,25.5
POL,2005,0.5236850837784056,465.70019531,0.0,8.9949913,5.79073858,42.52500507426103,14.535,48.45
PSE,2005,0.48603356575845447,158.43028259,25.91071817666399,8.14653969,10.99557114,33.85423556574926,3.7619999999999996,12.54
ROU,2005,0.4849812791463457,254.52961731,0.0,13.16346741,5.52778196,39.60956949210696,8.318999999999999,27.73
SEN,2005,1.0,36.00606155,0.0,8.54413509,3.67466521,31.467869655557116,0.768,2.56
SRB,2005,0.40919340148679895,307.54705811,0.0,13.61884022,8.09346867,38.59643225011092,7.382999999999999,24.61
TTO,2005,0.624259651208731,530.35229492,0.0,8.02571201,4.43451166,44.77600309940274,1.158,3.86
TUN,2005,1.0,169.84550476,0.0,11.35010338,5.14555788,37.594703529779615,15.306000000000001,51.02
UKR,2005,0.5473171345999023,114.63265228,0.0,8.43188095,6.3461585,34.87615141576609,6.636,22.12
YEM,2005,0.8825643661426227,38.27000809,13.53671523821177,4.50115108,5.20585251,29.95289845763149,4.842,16.14
ZAF,2005,0.465643688863433,400.5355835,0.0,10.91880608,6.86216164,40.84007391717886,2.274,7.58
ARM,2006,0.5959983753812915,124.8989563,0.0,7.93185902,5.85007095,35.32239652085669,4.311,14.37
BLR,2006,0.9999986705940995,221.70170593,0.0,8.44287395,5.57366323,38.65166343240419,2.616,8.72
CAN,2006,1.0,3758.35961914,0.0,16.78170395,9.33188725,51.01804372305877,3.6599999999999997,12.2
GEO,2006,0.5825726156052583,152.0617218,31.468404351438608,5.23038626,7.63208008,35.20368437184221,9.567,31.89
HUN,2006,0.5100513730326767,893.20300293,0.0,10.65500927,7.78556442,44.39303180725448,12.456000000000001,41.52
IDN,2006,0.9999999999759073,44.3965683,0.0,4.51137447,2.61946416,33.90371250792107,1.401,4.67
IRQ,2006,1.0,56.76464462,0.0,3.0470798,2.49370432,35.894346921559546,3.045,10.15
KGZ,2006,1.0,44.5950737,0.0,14.45895767,8.3118391,28.37170879339196,2.9549999999999996,9.85
MDA,2006,0.5092662260339595,100.10816193,0.0,12.89050865,10.54445267,32.45704773973556,7.5809999999999995,25.27
MKD,2006,1.0,242.60142517,0.0,13.40144539,7.38314581,38.06327637252023,8.469,28.23
